run_id	phase	arm	status	seed	evaluation_seed	git_commit	steps	supervised_tokens	charged_seconds	dev_accuracy	dev_broad_accuracy	train_sample16_accuracy	dev_parse_failure_rate	dev_truncation_rate	dev_broad_parse_failure_rate	dev_pass_at_1	dev_pass_at_2	dev_pass_at_4	reference_dev_nll	supervised_tokens_per_second	peak_allocated_mib	config_sha256	data_manifest_sha256
pilot_v1_calibration_seed17_r1	calibration	repeat	completed	17	17	423c94f6d109315913111318ca7e266ba254eb25	1024	267456	546	0.21875	0.03125	0.75	0.078125	0.0	0.015625				0.3428099496928966	683.0791118695835	26836.93798828125	4f3318ad9139ad29fde28417018da6571f958d05255ab15bcbb2f13895b24263	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_replication_paths_seed23_r1	comparison	paths	not_run	23	17																	de8492bcfad8478218d4fbcfd24e08ea2907493659ddfe0d445505c6101dc918	0959c217feb4b0c51aebf85c1f08e341e1b6c8034657ee028acb263a2ee18ad4
pilot_replication_gcm_seed23_r1	comparison	gcm	not_run	23	17																	bcecc0fcfdaa209fc6666ba8c68735aa128066198ae69c439710ac5315c3dd6c	0959c217feb4b0c51aebf85c1f08e341e1b6c8034657ee028acb263a2ee18ad4
