run_id	phase	arm	status	git_commit	steps	supervised_tokens	charged_seconds	dev_accuracy	dev_broad_accuracy	dev_pass_at_4	peak_allocated_mib	config_sha256	data_manifest_sha256
pilot_v1_calibration_seed17_r1	calibration	repeat	not_run									4f3318ad9139ad29fde28417018da6571f958d05255ab15bcbb2f13895b24263	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_repeat_seed17_r1	comparison	repeat	not_run									8ab2f8ab7283b8cb49deaa3aa05276cdb13bd6b2a413739b7f73fe5299bc0859	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_surface_seed17_r1	comparison	surface	not_run									a88f2a760c9e1ac3fc56a0e5f7d42fa95734ba2ad9b3d48da79b8de6f2f811db	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_paths_seed17_r1	comparison	paths	not_run									c82db59e5a9ff1e9292302741ad96208a4a6a6ba5e0d0bb6f13a8c1e05dafb52	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_gcm_seed17_r1	comparison	gcm	not_run									5d17293b2d67f099fc412fa887f4c3c3a6aa1b439faf7a462560a1668f939a48	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
