run_id	phase	arm	status	seed	git_commit	steps	supervised_tokens	charged_seconds	dev_accuracy	dev_broad_accuracy	train_sample16_accuracy	dev_parse_failure_rate	dev_truncation_rate	dev_broad_parse_failure_rate	dev_pass_at_1	dev_pass_at_2	dev_pass_at_4	reference_dev_nll	supervised_tokens_per_second	peak_allocated_mib	config_sha256	data_manifest_sha256
pilot_v1_calibration_seed17_r1	calibration	repeat	completed	17	423c94f6d109315913111318ca7e266ba254eb25	1024	267456	546	0.21875	0.03125	0.75	0.078125	0.0	0.015625				0.3428099496928966	683.0791118695835	26836.93798828125	4f3318ad9139ad29fde28417018da6571f958d05255ab15bcbb2f13895b24263	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_repeat_seed17_r1	comparison	repeat	completed	17	c4f4038f0d1582dc3586802af9d5f22fbfaa13c2	1024	267456	496	0.21875	0.03125	0.75	0.078125	0.0	0.015625	0.1875	0.25	0.328125	0.3428099496928966	697.5784464088082	26837.05322265625	8ab2f8ab7283b8cb49deaa3aa05276cdb13bd6b2a413739b7f73fe5299bc0859	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_surface_seed17_r1	comparison	surface	completed	17	c4f4038f0d1582dc3586802af9d5f22fbfaa13c2	1024	267456	500	0.1875	0.0	0.625	0.046875	0.0	0.046875	0.13671875	0.19270833333333334	0.25	1.4541964987049931	698.6578939487811	26837.05322265625	a88f2a760c9e1ac3fc56a0e5f7d42fa95734ba2ad9b3d48da79b8de6f2f811db	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_paths_seed17_r1	comparison	paths	completed	17	c4f4038f0d1582dc3586802af9d5f22fbfaa13c2	1024	267456	499	0.359375	0.0625	0.5625	0.015625	0.0	0.03125	0.28125	0.4010416666666667	0.515625	0.1098454623406636	693.3102782004646	26837.05322265625	c82db59e5a9ff1e9292302741ad96208a4a6a6ba5e0d0bb6f13a8c1e05dafb52	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
pilot_v1_gcm_seed17_r1	comparison	gcm	completed	17	c4f4038f0d1582dc3586802af9d5f22fbfaa13c2	1024	267456	498	0.28125	0.015625	0.875	0.078125	0.0	0.078125	0.2734375	0.3072916666666667	0.34375	0.22043746300941505	695.2307219408551	26837.05322265625	5d17293b2d67f099fc412fa887f4c3c3a6aa1b439faf7a462560a1668f939a48	45c51cec657eff48e271a67d99439b5f390bc661562fab3bd3d920c450c03e6b
